StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2
125401	Mix Hitra Torget	OLDERVIKVEIEN 2	HITRA	S&Oslash;R-TR&Oslash;NDELAG	NO	7240		https://www.dnb.no		postal		63.6003914682466	8.97604419862003						
125403	Coop Prix Ilsvika	MELLOMILA 71	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7018		https://www.dnb.no		postal		63.431001294884	10.3601240584946						
125407	Bunnpris Tonstad	TORVMYRA 2	TILLER	S&Oslash;R-TR&Oslash;NDELAG	NO	7091		https://www.dnb.no		postal		63.3618507344584	10.3898078424713						
125412	Bunnpris Kvam	MEKVEGEN 5	MOLDE	M&Oslash;RE OG ROMSDAL	NO	6411		https://www.dnb.no		postal		62.7358841662917	7.09445981109867						
125413	Mix Hallset	SELSBAKKVEGEN 37	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7027		https://www.dnb.no		postal		63.393518119936	10.371664088738						
125415	Joker Torvikbukt	TORVIKVEGEN 5	TORVIKBUKT	M&Oslash;RE OG ROMSDAL	NO	6639		https://www.dnb.no		postal		62.9431911480398	7.85665109800623						
125416	Coop Prix &Aring;sen	HAMMER&Oslash;YVEGEN 1	&Aring;SEN	NORD-TR&Oslash;NDELAG	NO	7630		https://www.dnb.no		postal		63.6106774270314	11.0510258024306						
125419	Extra Buvika		BUVIKA	S&Oslash;R-TR&Oslash;NDELAG	NO	7350		https://www.dnb.no		postal		63.307971407176	10.1753749706158						
125422	Coop Marked Sula	BUTIKKVEIEN 3	SULA	S&Oslash;R-TR&Oslash;NDELAG	NO	7280		https://www.dnb.no		postal		63.8456763965554	8.45885452065074						
125425	Meny Lerstad	LERSTADVEGEN 291	&Aring;LESUND	M&Oslash;RE OG ROMSDAL	NO	6014		https://www.dnb.no		postal		62.4684677523542	6.29213388810752						
125433	Coop Prix Ler	LERSVEGEN 195	LER	S&Oslash;R-TR&Oslash;NDELAG	NO	7234		https://www.dnb.no		postal		63.1977710070179	10.3005492074935						
125434	Coop Prix Bud	STRANDAVEGEN 1	BUD	M&Oslash;RE OG ROMSDAL	NO	6430		https://www.dnb.no		postal		62.9062349685278	6.91663457177174						
125435	Coop Prix Tingvoll	V&Aring;GAVEGEN 175	TINGVOLL	M&Oslash;RE OG ROMSDAL	NO	6630		https://www.dnb.no		postal		62.9097649877898	8.20686640219816						
125439	Bunnpris Lang&oslash;yneset	REKSUNDVEIEN 103	AVER&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6533		https://www.dnb.no		postal		63.0635841561284	7.49884213873294						
125440	Coop Marked Haltdalen	HEKSEMSVEGEN 77	HALTDALEN	S&Oslash;R-TR&Oslash;NDELAG	NO	7383		https://www.dnb.no		postal		62.9246816578252	11.1536161124883						
125441	Coop Marked &Aring;len	&Aring;LEN SENTER	&Aring;LEN	S&Oslash;R-TR&Oslash;NDELAG	NO	7380		https://www.dnb.no		postal		62.8418599576719	11.3022828910968						
125444	Coop Marked Brekken	MELLOMRIKSVEIEN 2	BREKKEBYGD	S&Oslash;R-TR&Oslash;NDELAG	NO	7370		https://www.dnb.no		postal		62.646136159228	11.8658878464388						
125445	Joker God&oslash;y	TEPPEMYRA 3	GOD&Oslash;YA	M&Oslash;RE OG ROMSDAL	NO	6055		https://www.dnb.no		postal		62.4757354886965	6.03856089984968						
125448	Spar Kyvannet	KYVANNSVEGEN 16 B	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7025		https://www.dnb.no		postal		63.404124851328	10.3356502382331						
125451	Coop Marked Stokk&oslash;y	STOKK&Oslash;YVEIEN 149	STOKK&Oslash;Y	S&Oslash;R-TR&Oslash;NDELAG	NO	7178		https://www.dnb.no		postal		64.0474506126294	10.0183659812013						
125453	Coop Prix K&aring;rv&aring;g	K&Aring;RV&Aring;GVEIEN 108	AVER&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6532		https://www.dnb.no		postal		63.0148465852247	7.44813756512505						
125454	Coop Marked &Aring;lvundeid	EIDAVEGEN 33	&Aring;LVUNDEID	M&Oslash;RE OG ROMSDAL	NO	6620		https://www.dnb.no		postal		62.7596243921179	8.53933659061717						
125455	Bunnpris Rosenborg	WEIDEMANNS VEI 4 A	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7043		https://www.dnb.no		postal		63.4323530441261	10.4175499102064						
125456	Bunnpris Isfjorden	HEN	ISFJORDEN	M&Oslash;RE OG ROMSDAL	NO	6320		https://www.dnb.no		postal		62.5781229388721	7.79122600271531						
125457	Spar Aukra	NYJORDVEGEN 1	AUKRA	M&Oslash;RE OG ROMSDAL	NO	6480		https://www.dnb.no		postal		62.8137625964098	6.88365170505424						
125458	Coop Prix Farstad	FARSTADVEGEN 1756	FARSTAD	M&Oslash;RE OG ROMSDAL	NO	6444		https://www.dnb.no		postal		62.9738233587737	7.16256528286205						
125460	Bunnpris Rensvik	KVALV&Aring;GVEIEN 3	FREI	M&Oslash;RE OG ROMSDAL	NO	6521		https://www.dnb.no		postal		63.0976236724623	7.82120997524704						
125462	Coop Marked Batnfjords&oslash;ra	EKSERVEGEN 1	BATNFJORDS&Oslash;RA	M&Oslash;RE OG ROMSDAL	NO	6631		https://www.dnb.no		postal		62.8937274307632	7.67961390375826						
125463	Coop Marked Bj&oslash;rgen	BJ&Oslash;RGEN	SINGS&Aring;S	S&Oslash;R-TR&Oslash;NDELAG	NO	7387		https://www.dnb.no		postal		62.942324005637	10.6545161137543						
125466	Bunnpris Frei	SENTERVEIEN 3	FREI	M&Oslash;RE OG ROMSDAL	NO	6522		https://www.dnb.no		postal		63.0930030018986	7.84135753420804						
125469	N&aelig;rbutikken S&aelig;b&oslash;	&Oslash;YRAGATA 40	S&AElig;B&Oslash;	M&Oslash;RE OG ROMSDAL	NO	6165		https://www.dnb.no		postal		62.2094368207824	6.47606162687718						
125477	Coop Marked Eidsdal	YTTERDALSGATA 30	EIDSDAL	M&Oslash;RE OG ROMSDAL	NO	6215		https://www.dnb.no		postal		62.262357519018	7.17195005363211						
125478	Coop Marked Folkestad	DALSFJORDVEGEN 4235	FOLKESTAD	M&Oslash;RE OG ROMSDAL	NO	6120		https://www.dnb.no		postal		62.1186545178768	6.02837616913971						
125479	Coop Marked Gjerdsvik		GJERDSVIKA	M&Oslash;RE OG ROMSDAL	NO	6083		https://www.dnb.no		postal		62.2546677200017	5.56942652580443						
125480	Coop Marked Leikong	LEIKONG 4	GURSK&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6080		https://www.dnb.no		postal		62.2472224203691	5.78205378159484						
125482	Coop Marked Kvams&oslash;y		KVAMS&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6087		https://www.dnb.no		postal		62.217063170611	5.37740881702121						
125483	Coop Marked Lauvstad	VELSVIKVEGEN 5	LAUVSTAD	M&Oslash;RE OG ROMSDAL	NO	6133		https://www.dnb.no		postal		62.1641198488262	5.94331642658811						
125484	Coop Marked Moltu	NYGJERDEVEGEN 1	MOLTUSTRANDA	M&Oslash;RE OG ROMSDAL	NO	6076		https://www.dnb.no		postal		62.2940530032042	5.63369156741255						
125485	Coop Marked Rovde	H&Oslash;GVANG	ROVDE	M&Oslash;RE OG ROMSDAL	NO	6141		https://www.dnb.no		postal		62.1788837529356	5.75512163213788						
125486	Coop Marked Sands&oslash;y		SANDSHAMN	M&Oslash;RE OG ROMSDAL	NO	6089		https://www.dnb.no		postal		62.2534279253062	5.48453755463864						
125487	Coop Marked Syvde		SYVDE	M&Oslash;RE OG ROMSDAL	NO	6140		https://www.dnb.no		postal		62.0891951047071	5.73880411470254						
125488	Coop Marked Tj&oslash;rv&aring;g	TJ&Oslash;RV&Aring;GVEGEN 269	TJ&Oslash;RV&Aring;G	M&Oslash;RE OG ROMSDAL	NO	6070		https://www.dnb.no		postal		62.2889734307247	5.73431665659531						
125491	Coop Prix Vikebukt		VIKEBUKT	M&Oslash;RE OG ROMSDAL	NO	6392		https://www.dnb.no		postal		62.6143631855455	7.14693029413811						
125492	Coop Marked M&aring;ndalen		M&Aring;NDALEN	M&Oslash;RE OG ROMSDAL	NO	6386		https://www.dnb.no		postal		62.5339082366188	7.44297433014172						
125493	Coop Marked Harams&oslash;y	AUSTNES	HARAMS&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6290		https://www.dnb.no		postal		62.6407290593669	6.26882350191026						
125494	Coop Prix V&aring;gland	GL&Aring;MSMYRVEGEN 11	V&Aring;GLAND	M&Oslash;RE OG ROMSDAL	NO	6683		https://www.dnb.no		postal		63.1196730365004	8.31743343103955						
125498	Coop Marked Hovin	KROGSTADVEGEN 6	HOVIN I GAULDAL	S&Oslash;R-TR&Oslash;NDELAG	NO	7236		https://www.dnb.no		postal		63.1052283733034	10.2251988215288						
125501	Bunnpris Sandstad		SANDSTAD	S&Oslash;R-TR&Oslash;NDELAG	NO	7246		https://www.dnb.no		postal		63.5369385081384	9.13873897507905						
125502	Spar Grong	MEDJ&Aring;VEGEN 29	GRONG	NORD-TR&Oslash;NDELAG	NO	7870		https://www.dnb.no		postal		64.4652379153567	12.3125349577431						
125504	Extra St&oslash;ren	STASJONSVEIEN 7	ST&Oslash;REN	S&Oslash;R-TR&Oslash;NDELAG	NO	7290		https://www.dnb.no		postal		63.0479816748213	10.2832378529117						
