StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
DNB57	DNB &Aring;lesund	Kongensgate 15	&Aring;LESUND	M&Oslash;RE OG ROMSDAL	NO	6001		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	62.47417068	6.156612396	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB32	DNB Kristiansund 	Nedre Enggate 6	KRISTIANSUND 	M&Oslash;RE OG ROMSDAL	NO	6501		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	63.11065673	7.730742454	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:00,6:10:00:14:00,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB78	DNB Molde	Storgata 25	MOLDE	M&Oslash;RE OG ROMSDAL	NO	6413		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	62.73714700	7.15731400	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB33	DNB Steinkjer	Brugata 2	STEINKJER	NORD-TR&Oslash;NDELAG	NO	7715		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	64.01659393	11.49389934	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB70	DNB Stj&oslash;rdal	Stokmovegen 1	STJ&Oslash;RDAL	NORD-TR&Oslash;NDELAG	NO	7501		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	63.46929931	10.92314529	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB1	DNB Bod&oslash;	Moloveien 16	BOD&Oslash;	NORDLAND	NO	8002		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Myntrullveksler<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	67.281177	14.373679	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:0		0515-0831			Advisory centre without cash<br/>Automated deposit machine banknote<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB167	DNB Mo i Rana	Nordahl Griegs gate 10	Mo i Rana	NORDLAND	NO	8622		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	66.30915832	14.13730907	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:00,6:10:00:14:00,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB56	DNB Svolv&aelig;r	Skolegata 6	SVOLV&AElig;R	NORDLAND	NO	8300		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	68.234388	14.567485	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB71	DNB Sortland	Strandgata 25	SORTLAND	NORDLAND	NO	8400		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	68.694392	15.41575	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB36	DNB Gj&oslash;vik	Fahlstr&oslash;ms Plass 1	GJ&Oslash;VIK	OPPLAND	NO	2815		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	60.79592514	10.69047832	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
