StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
MB222	Horten	Apotekergata 20	HORTEN	VESTFOLD	NO	3191		https://www.dnb.no		ATM		59.4163025	10.4833772			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB223	Horten	Apotekergata 20	HORTEN	VESTFOLD	NO	3191		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.4163025	10.4833772	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB293	H&oslash;nefoss	Kvernberggt. 5	H&Oslash;NEFOSS	BUSKERUD	NO	3510		https://www.dnb.no		ATM		60.1651785	10.2569835			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB265	Jessheim	Gotaasalleen 7	JESSHEIM	AKERSHUS	NO	2051		https://www.dnb.no		ATM		60.140426	11.1744724			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB268	Jessheim	Gotaasalleen 7	JESSHEIM	AKERSHUS	NO	2051		https://www.dnb.no	1:07:00:23:00,2:07:00:23:00,3:07:00:23:00,4:07:00:23:00,5:07:00:23:00,6:07:00:23:00,7:07:00:23:00	ATM		60.14042663	11.1744728	1:07:00:23:00,2:07:00:23:00,3:07:00:23:00,4:07:00:23:00,5:07:00:23:00,6:07:00:23:00,7:07:00:23:00		NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB61	Karl Johans gate	Karl Johans gate 27-31	OSLO	OSLO	NO	0021		https://www.dnb.no		ATM		59.913612	10.739926			NOK, SEK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB75	Karl Johans gate	Karl Johans gate 27-31	OSLO	OSLO	NO	0021		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:17:00,7:10:00:15:00	ATM		59.913612	10.739926	2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:10:00:16:00		NOK, DKK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB53	Karl Johans gate 	Karl Johans gate 27-31	OSLO	OSLO	NO	0021		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:17:00,7:10:00:15:00	ATM		59.913612	10.739926	2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:10:00:16:00		NOK, EUR 				<br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB117	Karl Johans gate 	Karl Johans gate 27-31	OSLO	OSLO	NO	0021		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:17:00,7:10:00:15:00	ATM		59.913612	10.739926	2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:10:00:16:00		NOK, USD, GBP				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB118	Karl Johans gate 	Karl Johans gate 27-31	OSLO	OSLO	NO	0021		https://www.dnb.no		ATM		59.913612	10.739926			NOK, EUR, USD (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
